ShortItemNo    ;Shimanoitem              ;3rd item nr              ;barcode/ean  ;description line 1            ;description line 2                      ;T;  Price;SalesPr;Retail ;CNV;S;Itemgroup                     ;Brand          ;Filename picture                                  ;SaQ;A;
000000001565688;YASZS27H1                ;YASZS27H1                ;8717009848855;YASZS27H section 1            ;                                        ;2;62.67;113.95;113.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565687;YASZDB271                ;YASZDB271                ;8717009848862;YASZDB27 section 1            ;                                        ;2;56.07;101.95;101.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565686;YASVJS191                ;YASVJS191                ;8717009848824;YASVJS19 section 1            ;                                        ;2;65.97;119.95;119.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565685;YASVJC191                ;YASVJC191                ;8717009848831;YASVJC19 section 1            ;                                        ;2;73.12;132.95;132.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565684;YASPIC261                ;YASPIC261                ;8717009848794;YASPIC26 section 1            ;                                        ;2;76.42;138.95;138.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565683;YASPIC25XH1              ;YASPIC25XH1              ;8717009848770;YASPIC25XH section 1          ;                                        ;2;57.17;103.95;103.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565682;YASPIC23XXH1             ;YASPIC23XXH1             ;8717009848787;YASPIC23XXH section 1         ;                                        ;2;84.67;153.95;153.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565681;YASPI25XH1               ;YASPI25XH1               ;8717009848763;YASPI25XH section 1           ;                                        ;2;57.17;103.95;103.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565680;YASPI21H1                ;YASPI21H1                ;8717009848756;YASPI21H section 1            ;                                        ;2;73.12;132.95;132.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001667261;YASPFL5040               ;YASPFL5040               ;0022255245548;Yasei Predator Fluorocarbon   ;50m 0,40mm 11,93kg                      ;2;7.75;15.49;15.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667260;YASPFL5035               ;YASPFL5035               ;0022255245531;Yasei Predator Fluorocarbon   ;50m 0,35mm 8,08kg                       ;2;6.75;13.49;13.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667259;YASPFL5030               ;YASPFL5030               ;0022255245524;Yasei Predator Fluorocarbon   ;50m 0,30mm 7,17kg                       ;2;6.25;12.49;12.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667258;YASPFL5028               ;YASPFL5028               ;0022255245517;Yasei Predator Fluorocarbon   ;50m 0,28mm 6,32kg                       ;2;6.25;12.49;12.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667257;YASPFL5025               ;YASPFL5025               ;0022255245500;Yasei Predator Fluorocarbon   ;50m 0,25mm 5,06kg                       ;2;5.75;11.49;11.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667256;YASPFL5022               ;YASPFL5022               ;0022255245494;Yasei Predator Fluorocarbon   ;50m 0,22mm 3,59kg                       ;2;5.25;10.49;10.49;001;N;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667255;YASPFL5020               ;YASPFL5020               ;0022255245487;Yasei Predator Fluorocarbon   ;50m 0,20mm 3,05kg                       ;2;5.25;10.49;10.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667254;YASPFL5018               ;YASPFL5018               ;0022255245470;Yasei Predator Fluorocarbon   ;50m 0,18mm  2,93kg                      ;2;5.25;10.49;10.49;001;N;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667253;YASPFL1090               ;YASPFL1090               ;0022255245555;Yasei Predator Fluorocarbon   ;10m 0,90mm 40,19kg                      ;2;9.75;19.49;19.49;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001667252;YASPFL10100              ;YASPFL10100              ;0022255245562;Yasei Predator Fluorocarbon   ;10m 1,00mm 45,86kg                      ;2;10.98;21.95;21.95;001;Y;Monofilament                  ;Shimano        ;20200120_Yasei Predator Leader_1.jpg              ;001;Y;
000000001565679;YASP195L1                ;YASP195L1                ;8717009848817;YASP195L section 1            ;                                        ;2;60.47;109.95;109.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001652720;YASLTDZA270M             ;YASLTDZA270M             ;8717009844482;Yasei LTD Zander Finesse      ;Jigging 270 M                           ;2;232.02;356.95;356.95;001;N;.                             ;Shimano        ;20200615_Yasei LTD - Zander River Jigging_Main.jpg;001;N;
000000001652719;YASLTDZA270H             ;YASLTDZA270H             ;8717009844475;Yasei LTD Zander River Jigging;270 H                                   ;2;245.67;377.95;377.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Zander River Jig_Main.jpg    ;001;N;
000000001652718;YASLTDVZA198M            ;YASLTDVZA198M            ;8717009844468;Yasei LTD Zander Vertical     ;Jigging 198 M S                         ;2;225.52;346.95;346.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Zander Vert_Jig_Main.jpg     ;001;N;
000000001692211;YASLTDPF215MLP           ;YASLTDPF215MLP           ;0022255254663;Yasei LTD Power Finesse       ;215 ML+                                 ;2;225.52;346.95;346.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Perch Fin SBait_225_Main.jpg ;001;N;
000000001721437;YASLTDPELA190M           ;YASLTDPELA190M           ;8717009867832;Rod Yasei LTD Pelagic M Cast  ;FAST 1,90m 30-50g 2pc                   ;2;215.12;330.95;330.95;001;N;.                             ;Shimano        ;20220707_Yasei_LTD_Pelagic_Pick_Zander_01.jpg     ;001;N;
000000001721436;YASLTDPELA190H           ;YASLTDPELA190H           ;8717009867849;Rod Yasei LTD Pelagic H Cast  ;FAST 1,90m 50-80g 2pc                   ;2;218.37;335.95;335.95;001;N;.                             ;Shimano        ;20220707_Yasei_LTD_Pelagic_Pick_Zander_01.jpg     ;001;N;
000000001753704;YASLTDPED260ML           ;YASLTDPED260ML           ;8717009878074;Rod Yasei LTD Perch Distance  ;2,60m 5-25g 2pc                         ;2;215.12;330.95;330.95;001;N;.                             ;Shimano        ;20230926_SKU_YASLTDPED260ML.jpg                   ;001;N;
000000001652717;YASLTDPE260ML            ;YASLTDPE260ML            ;8717009844451;Yasei LTD Perch Finesse       ;Softbait 260 ML S                       ;2;225.52;346.95;346.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Perch Fin SBait_260_Main.jpg ;001;N;
000000001652716;YASLTDPE225ML            ;YASLTDPE225ML            ;8717009844444;Yasei LTD Perch Finesse       ;Softbait 225 ML S                       ;2;225.52;346.95;346.95;001;Y;.                             ;Shimano        ;20190909_Yasei LTD - Perch Fin SBait_225_Main.jpg ;001;Y;
000000001652715;YASLTDPE215ML            ;YASLTDPE215ML            ;8717009844437;Yasei LTD Perch Crankbait     ;215 ML C                                ;2;225.52;346.95;346.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Perch Crankbait_Main.jpg     ;001;N;
000000001652714;YASLTDP255XXH            ;YASLTDP255XXH            ;8717009844413;Yasei LTD Pike Swim & Softbait;255 XXH C                               ;2;259.32;398.95;398.95;001;Y;.                             ;Shimano        ;20190909_Yasei LTD - Pike Swim_Softbait_Main.jpg  ;001;Y;
000000001652713;YASLTDP225XH             ;YASLTDP225XH             ;8717009844406;Yasei LTD Pike Crank          ;& Spinnerbait 225 XH C                  ;2;245.67;377.95;377.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Pike Crank_SpinBt_Main.jpg   ;001;N;
000000001652712;YASLTDBSS270XH           ;YASLTDBSS270XH           ;8717009844420;Yasei LTD Big Softbait        ;Specialist 270 XH S                     ;2;252.82;388.95;388.95;001;N;.                             ;Shimano        ;20190909_Yasei LTD - Zander River Jig_Main.jpg    ;001;N;
000000001737901;YASLTDBFS205L            ;YASLTDBFS205L            ;8717009875073;Rod Yasei LTD BFS             ;Cast 2,05m 3,5-10g 2pc                  ;2;215.12;330.95;330.95;001;N;.                             ;Shimano        ;20240215_YASLTDBFS205L.jpg                        ;001;N;
000000001565678;YASJBC198H1              ;YASJBC198H1              ;8717009848800;YASJBC198H section 1          ;                                        ;2;79.17;143.95;143.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565677;YASDS240M1               ;YASDS240M1               ;8717009848749;YASDS240M section 1           ;                                        ;2;56.07;101.95;101.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001565676;YASCR22M1                ;YASCR22M1                ;8717009848879;YASCR22M section 1            ;                                        ;2;59.92;108.95;108.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001737900;YASBBAXZVJS19            ;YASBBAXZVJS19            ;8717009873918;Rod Yasei BB Zdr Vertical Jig ;Spin 1.90m  10-25g  2pc                 ;2;57.57;95.95;95.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXZVJS19.jpg                    ;001;Y;
000000001737899;YASBBAXZRJF27M           ;YASBBAXZRJF27M           ;8717009873895;Rod Yasei BB Zdr River Jig M  ;Spin 2.70m  12-28g  2pc                 ;2;70.17;116.95;116.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXZRJF27M.jpg                   ;001;Y;
000000001737898;YASBBAXZRJF27H           ;YASBBAXZRJF27H           ;8717009873888;Rod Yasei BB Zdr River Jig H  ;Spin 2.70m 24 - 56g 2pc                 ;2;73.17;121.95;121.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXZRJF27H.jpg                   ;001;Y;
000000001737897;YASBBAXZRJ24M            ;YASBBAXZRJ24M            ;8717009873901;Rod Yasei BB Zdr River Jig M  ;Spin 2.40m  7-25g  2pc                  ;2;67.17;111.95;111.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXZRJ24M.jpg                    ;001;Y;
000000001737896;YASBBAXSWBC24XXH         ;YASBBAXSWBC24XXH         ;8717009873994;Rod Yasei BB Swimb & BB       ;Cast 2.40m  120-170g  2pc               ;2;76.17;126.95;126.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXSWBC24XXH.jpg                 ;001;Y;
000000001737895;YASBBAXSTR21L            ;YASBBAXSTR21L            ;8717009874021;Rod Yasei BB Street           ;Spin 2.10m  3-12g  2pc                  ;2;60.57;100.95;100.95;001;Y;.                             ;Shimano        ;20240129_SKU_YASBBAXSTR21L.jpg                    ;001;Y;
000000001737894;YASBBAXPVF230L           ;YASBBAXPVF230L           ;8717009873932;Rod Yasei BB Perch Fin. Vers. ;Spin 2.30m  3-12g  2pc                  ;2;63.57;105.95;105.95;001;Y;.                             ;Shimano        ;20240129_SKU_YASBBAXPVF230L.jpg                   ;001;Y;
000000001737893;YASBBAXPV205ML           ;YASBBAXPV205ML           ;8717009873925;Rod Yasei BB Perch Versatile  ;Spin 2.05m  7-25g  2pc                  ;2;60.57;100.95;100.95;001;Y;.                             ;Shimano        ;20240129_SKU_YASBBAXPV205ML.jpg                   ;001;Y;
000000001737892;YASBBAXPIC25XXH          ;YASBBAXPIC25XXH          ;8717009873987;Rod Yasei BB Pike XXH         ;Cast 2.50m  40-120g  2pc                ;2;76.17;126.95;126.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXPIC25XXH.jpg                  ;001;Y;
000000001737891;YASBBAXPIC23XH           ;YASBBAXPIC23XH           ;8717009873970;Rod Yasei BB Pike XH          ;Cast 2.30m  30-90g  2pc                 ;2;67.17;111.95;111.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXPIC23XH.jpg                   ;001;Y;
000000001737890;YASBBAXPI25XH            ;YASBBAXPI25XH            ;8717009873963;Rod Yasei BB Pike XH          ;Spin 2.50m  30-90g  2pc                 ;2;76.17;126.95;126.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXPI25XH.jpg                    ;001;Y;
000000001737889;YASBBAXPI22H             ;YASBBAXPI22H             ;8717009873956;Rod Yasei BB Pike H           ;Spin 2.20m  20-60g  2pc                 ;2;76.17;126.95;126.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXPI22H.jpg                     ;001;Y;
000000001737888;YASBBAXCTR24L            ;YASBBAXCTR24L            ;8717009874007;Rod Yasei BB Caro & Texas rig ;Spin 2.40m  4-14g  2pc                  ;2;67.17;111.95;111.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXCTR24L.jpg                    ;001;Y;
000000001737887;YASBBAXCR22M             ;YASBBAXCR22M             ;8717009873949;Rod Yasei BB Crankbait        ;Cast 2.20m  8-24g  2pc                  ;2;63.57;105.95;105.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXCR22M.jpg                     ;001;Y;
000000001737886;YASBBAXASP27MH           ;YASBBAXASP27MH           ;8717009874014;Rod Yasei BB Aspius           ;Spin 2.70m  10-35g  2pc                 ;2;73.17;121.95;121.95;001;N;.                             ;Shimano        ;20240129_SKU_YASBBAXASP27MH.jpg                   ;001;Y;
000000001721449;YASAXZVJS19              ;YASAXZVJS19              ;8717009858724;Rod Yasei Zdr Vert Jig Spin   ;MODERATE 1,90m 14-28g 1+1pc             ;2;95.37;158.95;158.95;001;N;.                             ;Shimano        ;20221221_YASAXZVJS19_01.jpg                       ;001;N;
000000001721448;YASAXZVJC19              ;YASAXZVJC19              ;8717009858731;Rod Yasei Zdr Vert Jig Cast   ;MODERATE 1,90m 14-28g 1+1pc             ;2;98.37;163.95;163.95;001;N;.                             ;Shimano        ;20221221_YASAXZVJC19_01.jpg                       ;001;N;
